video_id,trending_date,title,channel_title,category_name,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
puqaWrEC7tY,11/2017,Nickelback Lyrics: Real or Fake?,Good Mythical Morning,Entertainment,2017-11-13T11:00:04.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""Season 12""|""nickelback lyrics""|""nickelback lyrics real or fake""|""nickelback""|""nickelback songs""|""nickelback song""|""rhett link nickelback""|""gmm nickelback""|""lyrics (website category)""|""nickelback (musical group)""|""rock""|""music""|""lyrics""|""chad kroeger""|""canada""|""music (industry)""|""mythical""|""gmm challenge""|""comedy""|""funny""|""challenge""",343168,10172,666,2146,https://i.ytimg.com/vi/puqaWrEC7tY/default.jpg,False,False,False,Today we find out if Link is a Nickelback amateur or a secret Nickelback devotee. GMM #1218\nDon't miss an all new Ear Biscuits: https://goo.gl/xeZNQt\nWatch Part 4: https://youtu.be/MhCdiiB8CQg | Watch Part 2: https://youtu.be/7qiOrNao9fg\nWatch today's episode from the start: http://bit.ly/GMM1218\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
hbhbu_Kf424,11/2017,Big Mac vs Whopper: Which Is Healthier?,Good Mythical Morning,Entertainment,2017-11-14T11:00:03.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""Season 12""|""rhett link taste test""|""gmm taste test""|""gmm food""|""whopper""|""burger""|""big mac""|""burger king""|""fast food""|""mcdonalds""|""food review""|""review""|""hamburger""|""mcdonald's big mac""|""whopper (dish)""|""food reviews""|""vs""|""calories""|""healthy fast food""|""fast food calories""|""fast food calories chart""|""fast food calories mcdonalds""|""fast food calories burger king""",754502,15082,778,2285,https://i.ytimg.com/vi/hbhbu_Kf424/default.jpg,False,False,False,We're putting 2 fast food staples to the test to find out which burger is better for you when you need to get a meal in a pinch. GMM #1219.2\nWatch Part 3:  https://youtu.be/_Nhehj0vu6A | Watch Part 1: https://youtu.be/Dtxc2_LR86M\nWatch today's episode from the start: http://bit.ly/GMM1219\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
hbhbu_Kf424,11/2017,Big Mac vs Whopper: Which Is Healthier?,Good Mythical Morning,Entertainment,2017-11-14T11:00:03.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""Season 12""|""rhett link taste test""|""gmm taste test""|""gmm food""|""whopper""|""burger""|""big mac""|""burger king""|""fast food""|""mcdonalds""|""food review""|""review""|""hamburger""|""mcdonald's big mac""|""whopper (dish)""|""food reviews""|""vs""|""calories""|""healthy fast food""|""fast food calories""|""fast food calories chart""|""fast food calories mcdonalds""|""fast food calories burger king""",964813,17124,1083,2662,https://i.ytimg.com/vi/hbhbu_Kf424/default.jpg,False,False,False,We're putting 2 fast food staples to the test to find out which burger is better for you when you need to get a meal in a pinch. GMM #1219.2\nWatch Part 3:  https://youtu.be/_Nhehj0vu6A | Watch Part 1: https://youtu.be/Dtxc2_LR86M\nWatch today's episode from the start: http://bit.ly/GMM1219\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
rOuSqjF9M8Y,11/2017,Rhett & Link's Buddy System Season 2  (Official Trailer),Good Mythical Morning,Entertainment,2017-11-16T11:00:06.000Z,"Rhett & Link's Buddy System Season 2|""Rhett & Link""|""YouTube Red Original Series""|""YouTube Red Originals""|""YouTube Red""|""Rhett McLaughlin""|""Link Neal""|""Leslie Bibb""|""MaryLynn Rajskbub""|""Mayim Bialik""|""Michael McDonald""|""Page Kennedy""|""Rob Corddry""|""Tony Hale""|""David Koechner""|""Garrett Morris""|""Alison Rich""|""good mythical morning""|""rhett link""|""rhett""|""link""|""gmm""|""season 12""|""rhett & link""",324544,10121,312,1094,https://i.ytimg.com/vi/rOuSqjF9M8Y/default.jpg,False,False,False,"Watch the official trailer for Rhett & Link's Buddy System Season 2 , a YouTube Red Original Series. Premieres November 29!\nWatch GMM Part 3: https://youtu.be/nwkedtVFoMI | Watch GMM Part 1: https://youtu.be/qaHmpwbsYis\n\nIn this particular universe (the one you live in if you're reading this), Rhett and Link are lifelong best friends who met in first grade and host a popular Internet show. \n\nBut in a parallel universe (which just so happens to be the universe of Rhett & Link's Buddy System Season 2), that meeting never happened. Instead, they meet as adults, and Rhett is a self-absorbed hedonist while Link is alarmingly simple. Will they each be able to grow enough to form the “buddy system” their counterparts enjoy in this universe?\n\nYouTube Red Originals - http://youtube.com/Red. \n\nIf you live outside the United States, Mexico, New Zealand, Australia or South Korea, click here for more details on availability in your country: https://goo.gl/UEojxv."
iE_bfDcy0iQ,11/2017,What Does The Sign Say? (GAME),Good Mythical Morning,Entertainment,2017-11-17T11:00:05.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""what does the sign say?""|""what does the sign say""|""gmm challenges""|""rhett link challenges""|""weird road signs""|""road signs""|""road sign""|""road""|""sign""|""rhett link what does the sign say""|""gmm what does the sign say""|""traffic signs""|""regulatory signs""|""highwaycode""|""road traffic signs""|""highway signs""|""road safety signs""|""traffic road signs""",295577,6456,193,504,https://i.ytimg.com/vi/iE_bfDcy0iQ/default.jpg,False,False,False,Can Link guess what these absurd road signs actually say? GMM #1222.3\nWatch Part 4: https://youtu.be/1RPp7wgfn3o | Watch Part 2: https://youtu.be/LCkJKA7mWTo\nWatch today's episode from the start: http://bit.ly/GMM-1222\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
iE_bfDcy0iQ,11/2017,What Does The Sign Say? (GAME),Good Mythical Morning,Entertainment,2017-11-17T11:00:05.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""what does the sign say?""|""what does the sign say""|""gmm challenges""|""rhett link challenges""|""weird road signs""|""road signs""|""road sign""|""road""|""sign""|""rhett link what does the sign say""|""gmm what does the sign say""|""traffic signs""|""regulatory signs""|""highwaycode""|""road traffic signs""|""highway signs""|""road safety signs""|""traffic road signs""",388965,7747,241,656,https://i.ytimg.com/vi/iE_bfDcy0iQ/default.jpg,False,False,False,Can Link guess what these absurd road signs actually say? GMM #1222.3\nWatch Part 4: https://youtu.be/1RPp7wgfn3o | Watch Part 2: https://youtu.be/LCkJKA7mWTo\nWatch today's episode from the start: http://bit.ly/GMM-1222\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
iE_bfDcy0iQ,11/2017,What Does The Sign Say? (GAME),Good Mythical Morning,Entertainment,2017-11-17T11:00:05.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""what does the sign say?""|""what does the sign say""|""gmm challenges""|""rhett link challenges""|""weird road signs""|""road signs""|""road sign""|""road""|""sign""|""rhett link what does the sign say""|""gmm what does the sign say""|""traffic signs""|""regulatory signs""|""highwaycode""|""road traffic signs""|""highway signs""|""road safety signs""|""traffic road signs""",446729,8438,276,709,https://i.ytimg.com/vi/iE_bfDcy0iQ/default.jpg,False,False,False,Can Link guess what these absurd road signs actually say? GMM #1222.3\nWatch Part 4: https://youtu.be/1RPp7wgfn3o | Watch Part 2: https://youtu.be/LCkJKA7mWTo\nWatch today's episode from the start: http://bit.ly/GMM-1222\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
ZjKLItXpi1U,11/2017,5 Ridiculous Movies with 0% on Rotten Tomatoes,Good Mythical Morning,Entertainment,2017-11-20T11:00:03.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""top 5""|""top 5 movies""|""rotten tomatoes""|""worst movies ever made""|""movies""|""certified fresh""|""reviews""|""rotten tomatoes movies""|""rottentomatoes""|""rotten tomatoes (website)""|""worst movies of all time""|""bad movie""|""rhett link bad movie""|""gmm bad movie""|""5 ridiculous movies with 0% on rotten tomatoes""|""0% fresh movies""|""0%""|""worst movies""",347720,8695,354,834,https://i.ytimg.com/vi/ZjKLItXpi1U/default.jpg,False,False,False,Can we find anything nice to say about these 0% fresh films? GMM #1223.4\nWatch GMMore: https://youtu.be/CJstXgKCPvQ | Watch Part 3: https://youtu.be/oXRRKZBcZS0\nWatch today's episode from the start: http://bit.ly/GMM1223\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
oFnEsXyPyNg,11/2017,Cooking A Turkey In A Clothes Dryer,Good Mythical Morning,Entertainment,2017-11-21T11:00:04.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""rhett""|""link""|""gmm taste test""|""rhett link taste test""|""how to cook a turkey""|""turkey""|""cooking a turkey""|""how to cook""|""cooking a turkey in a clothes dryer""|""turkey in a trash can""|""dryer""|""cooking""|""gmm challenges""|""thanksgiving""|""roast turkey""|""turkey dinner""|""turkey recipe""|""turkey song""",433105,9050,622,1038,https://i.ytimg.com/vi/oFnEsXyPyNg/default.jpg,False,False,False,Set your dryer to Wrinkle Free Poultry and let is do the cooking while also warming up your favorite fuzzy socks! GMM #1224.2\nWatch Part 3: https://youtu.be/Pr9N4NQxNKE | Watch Part 1: https://youtu.be/VgRcfnsWtXY\nWatch today's episode from the start: http://bit.ly/GMM-1224\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
A0kABnQ2X8o,11/2017,Nose Hair Trimmer Music | Is This An Instrument?,Good Mythical Morning,Entertainment,2017-11-22T11:00:00.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""nose trimmer music""|""nose hair trimmer music""|""nose hair trimmer""|""rhett link nose hair trimmer music""|""gmm nose hair trimmer music""|""rhett link music""|""gmm music""|""rhett link nose hair trimmer""|""gmm nose hair trimmer""|""nose""|""trimmer""|""music""|""nose hair""|""nose hair trimming""|""100 strange sounds""|""mythical""|""rhett""|""link""|""gmm challenges""",233969,5414,334,538,https://i.ytimg.com/vi/A0kABnQ2X8o/default.jpg,False,False,False,Woodwind. Brass. Nose Hair Trimmer...? Today we're setting out to determine if our schnoz cleaners can also double as melodious music makers. GMM #1225.4\nWatch GMMore: https://youtu.be/DEfwSSamD8s | Watch Part 3: https://youtu.be/w-t71hs1hHw\nWatch today's episode from the start: http://bit.ly/GMM1225\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
_1d9WFw1uKM,11/2017,Thanksgiving Pizza Taste Test,Good Mythical Morning,Entertainment,2017-11-23T11:00:01.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""thanksgiving pizza taste test""|""thanksgiving pizza""|""pizza taste test""|""taste test""|""gmm taste test""|""rhett link taste test""|""thanksgiving leftover""|""thanksgiving leftovers taste test""|""thanksgiving""|""pizza""|""turkey""|""thanksgiving food""|""thanksgiving dinner""|""thanksgiving taste test""|""good mythical morning taste test""|""turkey recipe""",312362,8011,234,632,https://i.ytimg.com/vi/_1d9WFw1uKM/default.jpg,False,False,False,We're trying some of your favorite Thanksgiving leftover hacks to see how we'll be chowing down the day after Turkey Day. GMM #1226.2\nWatch Part 3: https://youtu.be/hwdpBn8vY_Y | Watch Part 1: https://youtu.be/5efAVAObIdM\nWatch today's episode from the start: http://bit.ly/GMM1226\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/
rAmLzm4bb2I,11/2017,Bug and Wine Pairing Taste Test,Good Mythical Morning,Entertainment,2017-11-24T11:00:05.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""bug and wine pairing""|""bug and wine pairing taste test""|""bug taste test""|""rhett link bug and wine pairing taste test""|""gmm taste test""|""rhett link taste test""|""taste test""|""wine taste test""|""bug""|""wine""|""wine tasting""|""bugs""|""insects""|""mythical""|""rhett""|""link""|""eating""|""good mythical morning bug taste test""",249262,5770,266,952,https://i.ytimg.com/vi/rAmLzm4bb2I/default.jpg,False,False,False,"We try a selection of bug-centric dishes prepared by professional bug eater, Aly Moore! GMM #1227.2\nWatch Part 1: https://youtu.be/LMcWbAufarc | Watch Part 3: https://youtu.be/44kWUgFk7Ro\nWatch today's episode from the start: http://bit.ly/GMM1227\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/"
rAmLzm4bb2I,11/2017,Bug and Wine Pairing Taste Test,Good Mythical Morning,Entertainment,2017-11-24T11:00:05.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""bug and wine pairing""|""bug and wine pairing taste test""|""bug taste test""|""rhett link bug and wine pairing taste test""|""gmm taste test""|""rhett link taste test""|""taste test""|""wine taste test""|""bug""|""wine""|""wine tasting""|""bugs""|""insects""|""mythical""|""rhett""|""link""|""eating""|""good mythical morning bug taste test""",328031,6890,336,1117,https://i.ytimg.com/vi/rAmLzm4bb2I/default.jpg,False,False,False,"We try a selection of bug-centric dishes prepared by professional bug eater, Aly Moore! GMM #1227.2\nWatch Part 1: https://youtu.be/LMcWbAufarc | Watch Part 3: https://youtu.be/44kWUgFk7Ro\nWatch today's episode from the start: http://bit.ly/GMM1227\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/"
rAmLzm4bb2I,11/2017,Bug and Wine Pairing Taste Test,Good Mythical Morning,Entertainment,2017-11-24T11:00:05.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""bug and wine pairing""|""bug and wine pairing taste test""|""bug taste test""|""rhett link bug and wine pairing taste test""|""gmm taste test""|""rhett link taste test""|""taste test""|""wine taste test""|""bug""|""wine""|""wine tasting""|""bugs""|""insects""|""mythical""|""rhett""|""link""|""eating""|""good mythical morning bug taste test""",373279,7545,374,1192,https://i.ytimg.com/vi/rAmLzm4bb2I/default.jpg,False,False,False,"We try a selection of bug-centric dishes prepared by professional bug eater, Aly Moore! GMM #1227.2\nWatch Part 1: https://youtu.be/LMcWbAufarc | Watch Part 3: https://youtu.be/44kWUgFk7Ro\nWatch today's episode from the start: http://bit.ly/GMM1227\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/"
